timestamp,session_file,cwd,command,matched_pattern,surrounding_text,id,package_version,client,db,success,exit_code,result_status,empty_result,result_size,duration_total_ms,duration_load_ms,duration_query_ms,target_raw,start_raw
2026-08-29T08:07:24.617Z,01a0488f-f8e8-76a3-8b2d-de581e1583f9,/Users/1noryzzz/Odoo-unified-production,odoo-graph dump -c odoo.conf -d unified-production-m3-20260828 --odoo-path .,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=None; query_ms=3976; total_ms=3977; result_size=15321; summary={""fields_count"":14752,""models_count"":569,""resolved_count"":8722,""unresolved_count"":38}",51,1.8.0,codex,unified-production-m3-20260828,1,0,success_non_empty,0,15321,3977,,3976,,
2026-08-29T08:10:24.361Z,cursor:820a553e-d3a7-4530-a071-6edd41bcc49e,/Users/1noryzzz/Odoo-unified-production,odoo-graph field ifs.gar.review.merchant.approve.wizard.credit_term --db unified-production-m3-20260828 -f json,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1094; query_ms=0; total_ms=1155; result_size=1; summary={""downstream_count"":0,""primary_count_name"":""downstream_count"",""upstream_count"":1}",52,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,1,1155,1094,0,ifs.gar.review.merchant.approve.wizard.credit_term,
2026-08-29T08:10:25.952Z,cursor:820a553e-d3a7-4530-a071-6edd41bcc49e,/Users/1noryzzz/Odoo-unified-production,odoo-graph field ifs.gar.review.merchant.approve.wizard.repay_day --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1036; query_ms=0; total_ms=1108; result_size=1; summary={""downstream_count"":0,""primary_count_name"":""downstream_count"",""upstream_count"":1}",53,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,1,1108,1036,0,ifs.gar.review.merchant.approve.wizard.repay_day,
2026-08-29T08:10:27.531Z,cursor:820a553e-d3a7-4530-a071-6edd41bcc49e,/Users/1noryzzz/Odoo-unified-production,odoo-graph overrides ifs.gar.review.merchant.approve.wizard.action_confirm --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1184; query_ms=0; total_ms=1249; result_size=3; summary={""defined_in_classes_count"":3,""override_depth"":3}",54,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,3,1249,1184,0,ifs.gar.review.merchant.approve.wizard.action_confirm,
2026-08-29T08:10:29.222Z,cursor:820a553e-d3a7-4530-a071-6edd41bcc49e,/Users/1noryzzz/Odoo-unified-production,odoo-graph overrides ifs.gar.entry.merchant.confirm_merchant --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1052; query_ms=0; total_ms=1120; result_size=4; summary={""defined_in_classes_count"":4,""override_depth"":4}",55,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,4,1120,1052,0,ifs.gar.entry.merchant.confirm_merchant,
2026-08-29T08:10:30.752Z,cursor:820a553e-d3a7-4530-a071-6edd41bcc49e,/Users/1noryzzz/Odoo-unified-production,odoo-graph overrides ifs.gar.entry.merchant._revalidate_locked_product_plan_version_for_supplier_approval --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=989; query_ms=0; total_ms=1050; result_size=2; summary={""defined_in_classes_count"":2,""override_depth"":2}",56,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,2,1050,989,0,ifs.gar.entry.merchant._revalidate_locked_product_plan_version_for_supplier_approval,
2026-08-29T08:11:17.733Z,cursor:820a553e-d3a7-4530-a071-6edd41bcc49e,/Users/1noryzzz/Odoo-unified-production,odoo-graph field ifs.gar.review.merchant.approve.wizard.product_plan_version_id --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1244; query_ms=0; total_ms=1312; result_size=1; summary={""downstream_count"":0,""primary_count_name"":""downstream_count"",""upstream_count"":1}",57,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,1,1312,1244,0,ifs.gar.review.merchant.approve.wizard.product_plan_version_id,
2026-08-29T08:11:19.512Z,cursor:820a553e-d3a7-4530-a071-6edd41bcc49e,/Users/1noryzzz/Odoo-unified-production,odoo-graph field ifs.gar.review.merchant.approve.wizard.term_days --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1114; query_ms=0; total_ms=1185; result_size=1; summary={""downstream_count"":0,""primary_count_name"":""downstream_count"",""upstream_count"":1}",58,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,1,1185,1114,0,ifs.gar.review.merchant.approve.wizard.term_days,
2026-08-29T08:11:21.141Z,cursor:820a553e-d3a7-4530-a071-6edd41bcc49e,/Users/1noryzzz/Odoo-unified-production,odoo-graph field ifs.gar.review.merchant.funder.approve.wizard.credit_term --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1083; query_ms=0; total_ms=1149; result_size=1; summary={""downstream_count"":0,""primary_count_name"":""downstream_count"",""upstream_count"":1}",59,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,1,1149,1083,0,ifs.gar.review.merchant.funder.approve.wizard.credit_term,
2026-08-29T08:11:22.731Z,cursor:820a553e-d3a7-4530-a071-6edd41bcc49e,/Users/1noryzzz/Odoo-unified-production,odoo-graph field ifs.gar.review.merchant.funder.approve.wizard.repay_day --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=990; query_ms=0; total_ms=1049; result_size=1; summary={""downstream_count"":0,""primary_count_name"":""downstream_count"",""upstream_count"":1}",60,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,1,1049,990,0,ifs.gar.review.merchant.funder.approve.wizard.repay_day,
2026-08-29T08:11:24.192Z,cursor:820a553e-d3a7-4530-a071-6edd41bcc49e,/Users/1noryzzz/Odoo-unified-production,odoo-graph field ifs.gar.review.merchant.funder.approve.wizard.product_plan_version_id --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1037; query_ms=0; total_ms=1108; result_size=1; summary={""downstream_count"":0,""primary_count_name"":""downstream_count"",""upstream_count"":1}",61,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,1,1108,1037,0,ifs.gar.review.merchant.funder.approve.wizard.product_plan_version_id,
2026-08-29T08:11:25.754Z,cursor:820a553e-d3a7-4530-a071-6edd41bcc49e,/Users/1noryzzz/Odoo-unified-production,odoo-graph field ifs.gar.review.merchant.funder.approve.wizard.term_days --db unified-production-m3-20260828 -f human,telemetry sqlite,"status=success_non_empty; exit_code=0; load_ms=1120; query_ms=0; total_ms=1185; result_size=1; summary={""downstream_count"":0,""primary_count_name"":""downstream_count"",""upstream_count"":1}",62,1.8.0,cursor,unified-production-m3-20260828,1,0,success_non_empty,0,1,1185,1120,0,ifs.gar.review.merchant.funder.approve.wizard.term_days,
