"id","country_id:id","state_id:id","code","name","revision"
mca_area_130683,base.cn,base.state_cn_HE,"130683","安国市","201904"
mca_area_130684,base.cn,base.state_cn_HE,"130684","高碑店市","201904"
mca_area_130700,base.cn,base.state_cn_HE,"130700","张家口市","201904"
mca_area_130702,base.cn,base.state_cn_HE,"130702","桥东区","201904"
mca_area_130703,base.cn,base.state_cn_HE,"130703","桥西区","201904"
mca_area_130705,base.cn,base.state_cn_HE,"130705","宣化区","201904"
mca_area_130706,base.cn,base.state_cn_HE,"130706","下花园区","201904"
mca_area_130708,base.cn,base.state_cn_HE,"130708","万全区","201904"
mca_area_130709,base.cn,base.state_cn_HE,"130709","崇礼区","201904"
mca_area_130722,base.cn,base.state_cn_HE,"130722","张北县","201904"
mca_area_130723,base.cn,base.state_cn_HE,"130723","康保县","201904"
mca_area_130724,base.cn,base.state_cn_HE,"130724","沽源县","201904"
mca_area_130725,base.cn,base.state_cn_HE,"130725","尚义县","201904"
mca_area_130726,base.cn,base.state_cn_HE,"130726","蔚县","201904"
mca_area_130727,base.cn,base.state_cn_HE,"130727","阳原县","201904"
mca_area_130728,base.cn,base.state_cn_HE,"130728","怀安县","201904"
mca_area_130730,base.cn,base.state_cn_HE,"130730","怀来县","201904"
mca_area_130731,base.cn,base.state_cn_HE,"130731","涿鹿县","201904"
mca_area_130732,base.cn,base.state_cn_HE,"130732","赤城县","201904"
mca_area_130800,base.cn,base.state_cn_HE,"130800","承德市","201904"
mca_area_130802,base.cn,base.state_cn_HE,"130802","双桥区","201904"
mca_area_130803,base.cn,base.state_cn_HE,"130803","双滦区","201904"
mca_area_130804,base.cn,base.state_cn_HE,"130804","鹰手营子矿区","201904"
mca_area_130821,base.cn,base.state_cn_HE,"130821","承德县","201904"
mca_area_130822,base.cn,base.state_cn_HE,"130822","兴隆县","201904"
mca_area_130824,base.cn,base.state_cn_HE,"130824","滦平县","201904"
mca_area_130825,base.cn,base.state_cn_HE,"130825","隆化县","201904"
mca_area_130826,base.cn,base.state_cn_HE,"130826","丰宁满族自治县","201904"
mca_area_130827,base.cn,base.state_cn_HE,"130827","宽城满族自治县","201904"
mca_area_130828,base.cn,base.state_cn_HE,"130828","围场满族蒙古族自治县","201904"
mca_area_130881,base.cn,base.state_cn_HE,"130881","平泉市","201904"
mca_area_130900,base.cn,base.state_cn_HE,"130900","沧州市","201904"
mca_area_130902,base.cn,base.state_cn_HE,"130902","新华区","201904"
mca_area_130903,base.cn,base.state_cn_HE,"130903","运河区","201904"
mca_area_130921,base.cn,base.state_cn_HE,"130921","沧县","201904"
mca_area_130922,base.cn,base.state_cn_HE,"130922","青县","201904"
mca_area_130923,base.cn,base.state_cn_HE,"130923","东光县","201904"
mca_area_130924,base.cn,base.state_cn_HE,"130924","海兴县","201904"
mca_area_130925,base.cn,base.state_cn_HE,"130925","盐山县","201904"
mca_area_130926,base.cn,base.state_cn_HE,"130926","肃宁县","201904"
mca_area_130927,base.cn,base.state_cn_HE,"130927","南皮县","201904"
mca_area_130928,base.cn,base.state_cn_HE,"130928","吴桥县","201904"
mca_area_130929,base.cn,base.state_cn_HE,"130929","献县","201904"
mca_area_130930,base.cn,base.state_cn_HE,"130930","孟村回族自治县","201904"
mca_area_130981,base.cn,base.state_cn_HE,"130981","泊头市","201904"
mca_area_130982,base.cn,base.state_cn_HE,"130982","任丘市","201904"
mca_area_130983,base.cn,base.state_cn_HE,"130983","黄骅市","201904"
mca_area_130984,base.cn,base.state_cn_HE,"130984","河间市","201904"
mca_area_131000,base.cn,base.state_cn_HE,"131000","廊坊市","201904"
mca_area_131002,base.cn,base.state_cn_HE,"131002","安次区","201904"
mca_area_131003,base.cn,base.state_cn_HE,"131003","广阳区","201904"
mca_area_131022,base.cn,base.state_cn_HE,"131022","固安县","201904"
mca_area_131023,base.cn,base.state_cn_HE,"131023","永清县","201904"
mca_area_131024,base.cn,base.state_cn_HE,"131024","香河县","201904"
mca_area_131025,base.cn,base.state_cn_HE,"131025","大城县","201904"
mca_area_131026,base.cn,base.state_cn_HE,"131026","文安县","201904"
mca_area_131028,base.cn,base.state_cn_HE,"131028","大厂回族自治县","201904"
mca_area_131081,base.cn,base.state_cn_HE,"131081","霸州市","201904"
mca_area_131082,base.cn,base.state_cn_HE,"131082","三河市","201904"
mca_area_131100,base.cn,base.state_cn_HE,"131100","衡水市","201904"
mca_area_131102,base.cn,base.state_cn_HE,"131102","桃城区","201904"
mca_area_131103,base.cn,base.state_cn_HE,"131103","冀州区","201904"
mca_area_131121,base.cn,base.state_cn_HE,"131121","枣强县","201904"
mca_area_131122,base.cn,base.state_cn_HE,"131122","武邑县","201904"
mca_area_131123,base.cn,base.state_cn_HE,"131123","武强县","201904"
mca_area_131124,base.cn,base.state_cn_HE,"131124","饶阳县","201904"
mca_area_131125,base.cn,base.state_cn_HE,"131125","安平县","201904"
mca_area_131126,base.cn,base.state_cn_HE,"131126","故城县","201904"
mca_area_131127,base.cn,base.state_cn_HE,"131127","景县","201904"
mca_area_131128,base.cn,base.state_cn_HE,"131128","阜城县","201904"
mca_area_131182,base.cn,base.state_cn_HE,"131182","深州市","201904"
mca_area_140000,base.cn,base.state_cn_SX,"140000","山西省","201904"
mca_area_140100,base.cn,base.state_cn_SX,"140100","太原市","201904"
mca_area_140105,base.cn,base.state_cn_SX,"140105","小店区","201904"
mca_area_140106,base.cn,base.state_cn_SX,"140106","迎泽区","201904"
mca_area_140107,base.cn,base.state_cn_SX,"140107","杏花岭区","201904"
mca_area_140108,base.cn,base.state_cn_SX,"140108","尖草坪区","201904"
mca_area_140109,base.cn,base.state_cn_SX,"140109","万柏林区","201904"
mca_area_140110,base.cn,base.state_cn_SX,"140110","晋源区","201904"
mca_area_140121,base.cn,base.state_cn_SX,"140121","清徐县","201904"
mca_area_140122,base.cn,base.state_cn_SX,"140122","阳曲县","201904"
mca_area_140123,base.cn,base.state_cn_SX,"140123","娄烦县","201904"
mca_area_140181,base.cn,base.state_cn_SX,"140181","古交市","201904"
mca_area_140200,base.cn,base.state_cn_SX,"140200","大同市","201904"
mca_area_140212,base.cn,base.state_cn_SX,"140212","新荣区","201904"
mca_area_140213,base.cn,base.state_cn_SX,"140213","平城区","201904"
mca_area_140214,base.cn,base.state_cn_SX,"140214","云冈区","201904"
mca_area_140215,base.cn,base.state_cn_SX,"140215","云州区","201904"
mca_area_140221,base.cn,base.state_cn_SX,"140221","阳高县","201904"
mca_area_140222,base.cn,base.state_cn_SX,"140222","天镇县","201904"
mca_area_140223,base.cn,base.state_cn_SX,"140223","广灵县","201904"
mca_area_140224,base.cn,base.state_cn_SX,"140224","灵丘县","201904"
mca_area_140225,base.cn,base.state_cn_SX,"140225","浑源县","201904"
mca_area_140226,base.cn,base.state_cn_SX,"140226","左云县","201904"
mca_area_140300,base.cn,base.state_cn_SX,"140300","阳泉市","201904"
mca_area_140302,base.cn,base.state_cn_SX,"140302","城区","201904"
mca_area_140303,base.cn,base.state_cn_SX,"140303","矿区","201904"
mca_area_140311,base.cn,base.state_cn_SX,"140311","郊区","201904"
mca_area_140321,base.cn,base.state_cn_SX,"140321","平定县","201904"
mca_area_140322,base.cn,base.state_cn_SX,"140322","盂县","201904"
mca_area_140400,base.cn,base.state_cn_SX,"140400","长治市","201904"
mca_area_140403,base.cn,base.state_cn_SX,"140403","潞州区","201904"
mca_area_140404,base.cn,base.state_cn_SX,"140404","上党区","201904"
mca_area_140405,base.cn,base.state_cn_SX,"140405","屯留区","201904"
mca_area_140406,base.cn,base.state_cn_SX,"140406","潞城区","201904"
mca_area_140423,base.cn,base.state_cn_SX,"140423","襄垣县","201904"
mca_area_140425,base.cn,base.state_cn_SX,"140425","平顺县","201904"
mca_area_140426,base.cn,base.state_cn_SX,"140426","黎城县","201904"
mca_area_140427,base.cn,base.state_cn_SX,"140427","壶关县","201904"
mca_area_140428,base.cn,base.state_cn_SX,"140428","长子县","201904"
mca_area_140429,base.cn,base.state_cn_SX,"140429","武乡县","201904"
mca_area_140430,base.cn,base.state_cn_SX,"140430","沁县","201904"
mca_area_140431,base.cn,base.state_cn_SX,"140431","沁源县","201904"
mca_area_140500,base.cn,base.state_cn_SX,"140500","晋城市","201904"
mca_area_140502,base.cn,base.state_cn_SX,"140502","城区","201904"
mca_area_140521,base.cn,base.state_cn_SX,"140521","沁水县","201904"
mca_area_140522,base.cn,base.state_cn_SX,"140522","阳城县","201904"
mca_area_140524,base.cn,base.state_cn_SX,"140524","陵川县","201904"
mca_area_140525,base.cn,base.state_cn_SX,"140525","泽州县","201904"
mca_area_140581,base.cn,base.state_cn_SX,"140581","高平市","201904"
mca_area_140600,base.cn,base.state_cn_SX,"140600","朔州市","201904"
mca_area_140602,base.cn,base.state_cn_SX,"140602","朔城区","201904"
mca_area_140603,base.cn,base.state_cn_SX,"140603","平鲁区","201904"
mca_area_140621,base.cn,base.state_cn_SX,"140621","山阴县","201904"
mca_area_140622,base.cn,base.state_cn_SX,"140622","应县","201904"
mca_area_140623,base.cn,base.state_cn_SX,"140623","右玉县","201904"
mca_area_140681,base.cn,base.state_cn_SX,"140681","怀仁市","201904"
mca_area_140700,base.cn,base.state_cn_SX,"140700","晋中市","201904"
mca_area_140702,base.cn,base.state_cn_SX,"140702","榆次区","201904"
mca_area_140721,base.cn,base.state_cn_SX,"140721","榆社县","201904"
mca_area_140722,base.cn,base.state_cn_SX,"140722","左权县","201904"
mca_area_140723,base.cn,base.state_cn_SX,"140723","和顺县","201904"
mca_area_140724,base.cn,base.state_cn_SX,"140724","昔阳县","201904"
mca_area_140725,base.cn,base.state_cn_SX,"140725","寿阳县","201904"
mca_area_140726,base.cn,base.state_cn_SX,"140726","太谷县","201904"
mca_area_140727,base.cn,base.state_cn_SX,"140727","祁县","201904"
mca_area_140728,base.cn,base.state_cn_SX,"140728","平遥县","201904"
mca_area_140729,base.cn,base.state_cn_SX,"140729","灵石县","201904"
mca_area_140781,base.cn,base.state_cn_SX,"140781","介休市","201904"
mca_area_140800,base.cn,base.state_cn_SX,"140800","运城市","201904"
mca_area_140802,base.cn,base.state_cn_SX,"140802","盐湖区","201904"
mca_area_140821,base.cn,base.state_cn_SX,"140821","临猗县","201904"
mca_area_140822,base.cn,base.state_cn_SX,"140822","万荣县","201904"
mca_area_140823,base.cn,base.state_cn_SX,"140823","闻喜县","201904"
mca_area_140824,base.cn,base.state_cn_SX,"140824","稷山县","201904"
mca_area_140825,base.cn,base.state_cn_SX,"140825","新绛县","201904"
mca_area_140826,base.cn,base.state_cn_SX,"140826","绛县","201904"
mca_area_140827,base.cn,base.state_cn_SX,"140827","垣曲县","201904"
mca_area_140828,base.cn,base.state_cn_SX,"140828","夏县","201904"
mca_area_140829,base.cn,base.state_cn_SX,"140829","平陆县","201904"
mca_area_140830,base.cn,base.state_cn_SX,"140830","芮城县","201904"
mca_area_140881,base.cn,base.state_cn_SX,"140881","永济市","201904"
mca_area_140882,base.cn,base.state_cn_SX,"140882","河津市","201904"
mca_area_140900,base.cn,base.state_cn_SX,"140900","忻州市","201904"
mca_area_140902,base.cn,base.state_cn_SX,"140902","忻府区","201904"
mca_area_140921,base.cn,base.state_cn_SX,"140921","定襄县","201904"
mca_area_140922,base.cn,base.state_cn_SX,"140922","五台县","201904"
mca_area_140923,base.cn,base.state_cn_SX,"140923","代县","201904"
mca_area_140924,base.cn,base.state_cn_SX,"140924","繁峙县","201904"
mca_area_140925,base.cn,base.state_cn_SX,"140925","宁武县","201904"
mca_area_140926,base.cn,base.state_cn_SX,"140926","静乐县","201904"
mca_area_140927,base.cn,base.state_cn_SX,"140927","神池县","201904"
mca_area_140928,base.cn,base.state_cn_SX,"140928","五寨县","201904"
mca_area_140929,base.cn,base.state_cn_SX,"140929","岢岚县","201904"
mca_area_140930,base.cn,base.state_cn_SX,"140930","河曲县","201904"
mca_area_140931,base.cn,base.state_cn_SX,"140931","保德县","201904"
mca_area_140932,base.cn,base.state_cn_SX,"140932","偏关县","201904"
mca_area_140981,base.cn,base.state_cn_SX,"140981","原平市","201904"
mca_area_141000,base.cn,base.state_cn_SX,"141000","临汾市","201904"
mca_area_141002,base.cn,base.state_cn_SX,"141002","尧都区","201904"
mca_area_141021,base.cn,base.state_cn_SX,"141021","曲沃县","201904"
mca_area_141022,base.cn,base.state_cn_SX,"141022","翼城县","201904"
mca_area_141023,base.cn,base.state_cn_SX,"141023","襄汾县","201904"
mca_area_141024,base.cn,base.state_cn_SX,"141024","洪洞县","201904"
mca_area_141025,base.cn,base.state_cn_SX,"141025","古县","201904"
mca_area_141026,base.cn,base.state_cn_SX,"141026","安泽县","201904"
mca_area_141027,base.cn,base.state_cn_SX,"141027","浮山县","201904"
mca_area_141028,base.cn,base.state_cn_SX,"141028","吉县","201904"
mca_area_141029,base.cn,base.state_cn_SX,"141029","乡宁县","201904"
mca_area_141030,base.cn,base.state_cn_SX,"141030","大宁县","201904"
mca_area_141031,base.cn,base.state_cn_SX,"141031","隰县","201904"
mca_area_141032,base.cn,base.state_cn_SX,"141032","永和县","201904"
mca_area_141033,base.cn,base.state_cn_SX,"141033","蒲县","201904"
mca_area_141034,base.cn,base.state_cn_SX,"141034","汾西县","201904"
mca_area_141081,base.cn,base.state_cn_SX,"141081","侯马市","201904"
mca_area_141082,base.cn,base.state_cn_SX,"141082","霍州市","201904"
mca_area_141100,base.cn,base.state_cn_SX,"141100","吕梁市","201904"
mca_area_141102,base.cn,base.state_cn_SX,"141102","离石区","201904"
mca_area_141121,base.cn,base.state_cn_SX,"141121","文水县","201904"
mca_area_141122,base.cn,base.state_cn_SX,"141122","交城县","201904"
mca_area_141123,base.cn,base.state_cn_SX,"141123","兴县","201904"
